№,Секунда,Микросекунда
1,35,166718
2,35,177022
3,35,187093
4,35,197141
5,35,207188
6,35,217564
7,35,228095
8,35,238609
9,35,249107
10,35,259175
11,35,269564
12,35,279684
13,35,290190
14,35,300699
15,35,311019
16,35,321190
17,35,331507
18,35,341840
19,35,352281
20,35,362789
21,35,373314
22,35,383591
23,35,394090
24,35,404247
25,35,414797
26,35,425122
27,35,435650
28,35,446150
29,35,456235
30,35,466740
31,35,476916
32,35,487116
33,35,497266
34,35,507369
35,35,517720
36,35,528133
37,35,538414
38,35,548525
39,35,558728
40,35,569125
41,35,579760
42,35,590021
43,35,600472
44,35,611058
45,35,621403
46,35,631763
47,35,642072
48,35,652571
49,35,662934
50,35,673521
51,35,684131
52,35,694671
53,35,705223
54,35,715876
55,35,726058
56,35,736525
57,35,747192
58,35,757800
59,35,768373
60,35,778740
61,35,789231
62,35,799519
63,35,809913
64,35,820461
65,35,830757
66,35,841328
67,35,851448
68,35,861736
69,35,871998
70,35,882627
71,35,893240
72,35,903880
73,35,914438
74,35,924642
75,35,935190
76,35,945763
77,35,956413
78,35,966814
79,35,977387
80,35,988000
81,35,998509
82,36,9056
83,36,19545
84,36,29680
85,36,40182
86,36,50334
87,36,60828
88,36,71322
89,36,81822
90,36,92268
91,36,102355
92,36,112705
93,36,123184
94,36,133685
95,36,144240
96,36,154774
97,36,165273
98,36,175811
99,36,186294
100,36,196822
101,36,207426
102,36,217827
103,36,228431
104,36,238681
105,36,249167
106,36,259480
107,36,269638
108,36,279992
109,36,290383
110,36,300657
111,36,311172
112,36,321326
113,36,331528
114,36,341973
115,36,352565
116,36,363121
117,36,373731
118,36,383891
119,36,394416
120,36,404994
121,36,415162
122,36,425815
123,36,436090
124,36,446672
125,36,457109
126,36,467694
127,36,477852
128,36,488002
129,36,498451
130,36,508858
131,36,519375
132,36,529703
133,36,540321
134,36,550651
135,36,560919
136,36,571513
137,36,582038
138,36,592676
139,36,603155
140,36,613654
141,36,624246
142,36,634749
143,36,645371
144,36,655882
145,36,666420
146,36,676957
147,36,687541
148,36,697951
149,36,708348
150,36,718825
151,36,729399
152,36,739887
153,36,750013
154,36,760098
155,36,770345
156,36,780782
157,36,790947
158,36,801123
159,36,811648
160,36,822166
161,36,832429
162,36,842703
163,36,853219
164,36,863460
165,36,873959
166,36,884462
167,36,894953
168,36,905474
169,36,915955
170,36,926447
171,36,936963
172,36,947141
173,36,957699
174,36,968189
175,36,978307
176,36,988855
177,36,999385
178,37,9916
179,37,20424
180,37,30926
181,37,41452
182,37,51818
183,37,61946
184,37,72154
185,37,82646
186,37,92694
187,37,102850
188,37,113348
189,37,123924
190,37,134492
191,37,145079
192,37,155174
193,37,165283
194,37,175821
195,37,186328
196,37,196494
197,37,206609
198,37,216744
199,37,226847
200,37,237362
201,37,247540
202,37,257881
203,37,268139
204,37,278611
205,37,289074
206,37,299368
207,37,309654
208,37,320221
209,37,330502
210,37,340603
211,37,350977
212,37,361097
213,37,371260
214,37,381464
215,37,392053
216,37,402239
217,37,412737
218,37,423233
219,37,433867
220,37,444041
221,37,454179
222,37,464329
223,37,474747
224,37,485079
225,37,495626
226,37,506083
227,37,516298
228,37,527003
229,37,537507
230,37,548018
231,37,558159
232,37,568600
233,37,578789
234,37,589273
235,37,599489
236,37,609558
237,37,620161
238,37,630681
239,37,641056
240,37,651586
241,37,661854
242,37,672081
243,37,682640
244,37,692744
245,37,703142
246,37,713398
247,37,723666
248,37,733761
249,37,744309
250,37,754888
251,37,765349
252,37,775498
253,37,785641
254,37,795798
255,37,806120
256,37,816562
257,37,826714
258,37,836873
259,37,847031
260,37,857283
261,37,867677
262,37,877774
263,37,887917
264,37,897980
265,37,908150
266,37,918539
267,37,928711
268,37,939239
269,37,949359
270,37,959711
271,37,970284
272,37,980428
273,37,990952
274,38,1507
275,38,12013
276,38,23679
277,38,80005
278,38,90513
279,38,101382
280,38,111657
281,38,122231
282,38,132723
283,38,142906
284,38,153215
285,38,163486
286,38,173951
287,38,184483
288,38,194583
289,38,204868
290,38,215522
291,38,225755
292,38,235962
293,38,246278
294,38,256666
295,38,267069
296,38,277637
297,38,288206
298,38,298869
299,38,308998
300,38,319161
